Piston Cap Ball End,Activation Pin Cap,Activation Pin,Sleeve Body,Piston,Screen,Retainer,Retainer Clip,Extended Ball to Ball Distance,Compressed Ball to Ball Distance,Locked Ball to Ball Distance,Pallet Stop Shelf Gap,Retainer Clearance Distance,Extended Wedge Annulus Clearance,Ball End Type
00-048395,00-601661,00-601659,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,44.1,51.19614000000001,1.8649999999999984,2.890499999999995,-0.0879499999999993,Female
00-050612,00-601661,00-048389,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,41.800000000000004,51.19614000000001,-0.4350000000000005,0.5904999999999978,-0.0879499999999993,Male
00-050649,00-601661,00-601659,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,46.685,51.19614000000001,4.449999999999999,5.475499999999996,-0.0879499999999993,Female
00-050133,00-601661,00-048389,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,42.300000000000004,51.19614000000001,0.0649999999999995,1.0904999999999978,-0.0879499999999993,Male
00-050579,00-601661,00-048389,00-050610,00-050577,00-047064,00-049271,00-049278,53.89475000000001,41.300000000000004,51.19614000000001,-0.9350000000000005,0.0904999999999978,-0.0879499999999993,Male
00-050653,00-601661,00-048389,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,41.395,51.19614,-0.8399999999999999,0.18949999999999445,-0.0882000000000005,Male
00-050579,00-601661,00-048389,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,41.300000000000004,51.19614,-0.9350000000000005,0.09449999999999559,-0.0882000000000005,Male
00-050589,00-601661,00-601659,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,46.86,51.19614,4.625,5.654499999999998,-0.0882000000000005,Female
00-049133,00-601661,00-601659,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,47.11,51.19614,4.875,5.904499999999998,-0.0882000000000005,Female
00-050612,00-601661,00-048389,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,41.800000000000004,51.19614,-0.4350000000000005,0.5944999999999956,-0.0882000000000005,Male
00-050649,00-601661,00-601659,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,46.685,51.19614,4.449999999999999,5.479499999999994,-0.0882000000000005,Female
00-048395,00-601661,00-601659,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,44.1,51.19614,1.8649999999999984,2.8944999999999927,-0.0882000000000005,Female
00-049426,00-601661,00-048389,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,41.965,51.19614,-0.2699999999999996,0.7594999999999947,-0.0882000000000005,Male
00-050361,00-601661,00-048389,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,44.09,51.19614,1.8550000000000004,2.8844999999999947,-0.0882000000000005,Male
00-050133,00-601661,00-048389,00-050610,00-050135,00-047064,00-049271,00-049278,53.895,42.300000000000004,51.19614,0.0649999999999995,1.0944999999999956,-0.0882000000000005,Male
00-050361,00-601661,00-048389,00-050017A,00-050652,00-047064,00-049271,00-049278,54.205000000000005,43.495000000000005,52.49837,0.5999999999999979,1.5854999999999952,-0.03599999999999959,Male
00-049133,00-601661,00-601659,00-050017A,00-050652,00-047064,00-049271,00-049278,54.205000000000005,46.515,52.49837,3.6199999999999974,4.605499999999998,-0.03599999999999959,Female
00-049133,00-601661,00-601659,00-050017A,00-049720,00-047064,00-049271,00-049278,54.205000000000005,46.515,52.49837,3.6199999999999974,3.850499999999996,-0.03599999999999959,Female
00-050361,00-601661,00-048389,00-050017A,00-049720,00-047064,00-049271,00-049278,54.205000000000005,43.495000000000005,52.49837,0.5999999999999979,0.8304999999999998,-0.03599999999999959,Male
00-050589,00-601661,00-601659,00-050017A,00-049720,00-047064,00-049271,00-049278,54.205000000000005,46.265,52.49837,3.3699999999999974,3.600499999999996,-0.03599999999999959,Female
00-050589,00-601661,00-601659,00-050017A,00-050652,00-047064,00-049271,00-049278,54.205000000000005,46.265,52.49837,3.3699999999999974,4.355499999999998,-0.03599999999999959,Female
00-050133,00-601661,00-048389,00-050017A,00-050652,00-047064,00-049271,00-049278,54.205000000000005,41.705000000000005,52.49837,-1.1900000000000013,-0.2045000000000039,-0.03599999999999959,Male
00-048395,00-601661,00-601659,00-050017A,00-050652,00-047064,00-049271,00-049278,54.205000000000005,43.505,52.49837,0.6099999999999994,1.5954999999999933,-0.03599999999999959,Female
00-050649,00-601661,00-601659,00-050017A,00-050652,00-047064,00-049271,00-049278,54.205000000000005,46.09,52.49837,3.1949999999999985,4.180499999999994,-0.03599999999999959,Female
00-050649,00-601661,00-601659,00-050017A,00-049720,00-047064,00-049271,00-049278,54.205000000000005,46.09,52.49837,3.1949999999999985,3.4254999999999987,-0.03599999999999959,Female
00-048395,00-601661,00-601659,00-050017A,00-049720,00-047064,00-049271,00-049278,54.205000000000005,43.505,52.49837,0.6099999999999994,0.8404999999999978,-0.03599999999999959,Female
00-050612,00-601661,00-048389,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,41.800000000000004,52.23499000000001,-0.9350000000000005,-0.10949999999999793,0.050850000000000506,Male
00-050649,00-601661,00-601659,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,46.685,52.23499000000001,3.9499999999999993,4.7755,0.050850000000000506,Female
00-049133,00-601661,00-601659,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,47.11,52.23499000000001,4.375,5.200500000000004,0.050850000000000506,Female
00-050589,00-601661,00-601659,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,46.86,52.23499000000001,4.125,4.950500000000004,0.050850000000000506,Female
00-050133,00-601661,00-048389,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,42.300000000000004,52.23499000000001,-0.4350000000000005,0.39050000000000207,0.050850000000000506,Male
00-050361,00-601661,00-048389,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,44.09,52.23499000000001,1.3550000000000004,2.180500000000001,0.050850000000000506,Male
00-048395,00-601661,00-601659,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,44.1,52.23499000000001,1.3649999999999984,2.1904999999999992,0.050850000000000506,Female
00-049426,00-601661,00-048389,00-050651,00-050577,00-047064,00-049271,00-049278,54.39475000000001,41.965,52.23499000000001,-0.7699999999999996,0.055500000000001215,0.050850000000000506,Male
00-049133,00-601661,00-601659,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,47.11,52.23499,4.375,5.204500000000002,0.05059999999999931,Female
